n	tiempo_segundos
1000	0.000333
2000	0.000667
3000	0.000000
4000	0.000667
5000	0.000333
6000	0.000667
7000	0.000000
8000	0.000667
9000	0.001000
10000	0.000667
11000	0.000333
12000	0.000667
13000	0.001000
14000	0.000667
15000	0.001000
16000	0.001000
17000	0.001000
18000	0.001333
19000	0.001667
20000	0.001667
